the  la
practical  pratique
moreover  en outre
passion  passion
volunteer  bénévole
implement  mettre en œuvre
essentially  essentiellement
gene  gène
enforcement  mise en vigueur
sauce  sauce
vs  vs
independence  indépendance
marketing  commercialisation
priest  prêtre
amazing  étonnante
intense  intense
advance  avance
employer  employeur
shock  choc
inspire  inspirer
adjust  régler
retire  se retirer
kiss  embrasser
illness  maladies
visible  visible
cap  casquette
competitive  compétitif
habit  habitude
congressional  du congrès
juice  jus
involvement  participation
dominate  dominer
previously  précédemment
whenever  n'importe quand
transfer  transfert
analyze  analyser
attach  attacher
disaster  catastrophe
parking  parking
prospect  perspective
boss  chef
complaint  plainte
championship  championnat
fundamental  fondamental
severe  sévère
enhance  améliorer
mystery  mystère
poverty  la pauvreté
impose  imposer
spending  dépenses
entry  entrée
(king)  (roi)
evaluate  évaluer
symbol  symbole
maker  fabricant
mood  humeur
accomplish  accomplir
emphasis  accent
boot  démarrage
illustrate  illustrer
monitor  surveiller
entertainment  divertissement
asian  asiatique
bean  haricot
creature  créature
evaluation  évaluation
commander  le commandant
digital  numérique
arrangement  arrangement
concentrate  concentrer
usual  habituel
psychological  psychologique
anger  colère
heavily  fortement
peak  de pointe
approximately  approximativement
increasing  en augmentant
missile  missile
disorder  désordre
equally  également
wire  fil
vary  varier
round  rond
distribution  distribution
transportation  transport
holy  saint
twin  double
command  commander
commission  commission
interpretation  interprétation
breakfast  petit-déjeuner
strongly  fortement
luck  chance
engineering  ingénierie
so-called  soi-disant
constant  constant
clinic  clinique
veteran  vétéran
smell  sentir
tablespoon  cuillerée à soupe
capable  capable
nervous  nerveux
tourist  touristique
toss  lancer
crucial  crucial
bury  enterrer
pray  prier
tomato  tomate
exception  exception
butter  beurre
deficit  déficit
bathroom  salle de bain
objective  objectif
electronic  électronique
ally  allié
journey  voyage
surely  sûrement
reputation  réputation
tower  la tour
mixture  mélange
smoke  fumée
confront  affronter
pure  pur
glance  coup d'œil
toy  jouet
prisoner  prisonnier
dimension  dimension
fellow  compagnon
smooth  lisse
nearby  proche
peer  pair
personnel  personnel
designer  designer
relative  relatif
educator  éducateur
belt  ceinture
immigration  immigration
teaspoon  cuillère à café
birthday  date d'anniversaire
implication  implication
perfectly  à la perfection
coast  côte
supporter  supporter
accompany  accompagner
silver  argent
teenager  adolescent
recognition  reconnaissance
retirement  retraite
recovery  récupération
flag  drapeau
whisper  chuchotement
gentleman  gentilhomme
corn  maïs
inner  intérieur
moon  lune
junior  junior
swing  balançoire
throat  gorge
salary  un salaire
observer  observateur
publication  publication
dig  creuser
crop  recadrer
permanent  permanent
phenomenon  phénomène
anxiety  anxiété
unlike  contrairement à
literally  au sens propre
resist  résister
wet  mouiller
convention  convention
embrace  embrasse
assist  aider
exhibition  exposition
construct  construction
viewer  téléspectateur
pan  poêle
consultant  consultant
administrator  administrateur
occasionally  parfois
mayor  maire
consideration  considération
pink  rose
secure  sécurise
historic  historique
buck  mâle
poem  poème
grandmother  grand-mère
bind  lier
fifth  cinquième
constantly  constamment
enterprise  entreprise
favor  favoriser
testing  essai
apparent  apparent
stomach  estomac
weigh  peser
install  installer
sensitive  sensible
suggestion  suggestion
mail  courrier
recipe  recette
reasonable  raisonnable
elementary  élémentaire
wooden  en bois
preparation  préparation
aggressive  agressif
concert  concert
FALSE  false
intention  intention
channel  canal
extreme  extrême
tube  tube
drawing  dessin
quit  quitter
protein  protéine
absence  absence
latin  latin
rapidly  rapidement
jail  geôle
honest  honnête
diversity  la diversité
palestinian  palestinien
pace  rythme
employment  emploi
speaker  conférencier
essay  essai
impression  impression
respondent  intimé
giant  géant
cake  gâteau
negotiate  négocier
historian  historien
restore  restaurer
substantial  substantiel
pop  pop
specialist  spécialiste
origin  origine
approval  approbation
criticize  critiquer
advise  conseiller
quietly  tranquillement
conventional  conventionnel
depth  profondeur
disability  invalidité
wealth  richesse
shell  coquille
biological  biologique
effectively  effectivement
onion  oignon
deputy  adjoint
flat  appartement
brand  marque
assure  assurer
mad  fou
award  décerner
criteria  critères
dealer  marchand
via  via
utility  utilitaire
precisely  précisément
armed  armé
arise  surgir
nevertheless  néanmoins
highway  autoroute
clinical  clinique
routine  routine
wage  salaire
normally  en temps normal
phrase  phrase
ingredient  ingrédient
stake  pieu
muslim  musulman
fiber  fibre
activist  activiste
islamic  islamique
snap  se casser
terrorism  terrorisme
refugee  réfugié
incorporate  intégrer
ultimate  ultime
corporation  société
hip  hanche
switch  changer
valuable  de valeur
assumption  supposition
gear  équipement
barrier  barrière
minor  mineur
assign  attribuer
provision  disposition
killer  tueur
gang  gang
developing  développement
classic  classique
chemical  chimique
label  étiqueter
teen  adolescent
index  indice
vacation  vacances
advocate  avocat
draft  brouillon
extraordinary  extraordinaire
heaven  paradis
rough  rugueux
yell  hurler
pregnant  enceinte
distant  loin
drama  drame
satellite  satellite
personally  personnellement
clock  l'horloge
chocolate  chocolat
italian  italien
canadian  canadien
sweep  balayer
advertising  la publicité
ceiling  plafond
universal  universel
spin  tourner
button  bouton
bell  cloche
rank  rang
darkness  ténèbres
clothing  vêtements
super  super
yield  rendement
fence  clôture
portrait  portrait
survival  survie
roughly  à peu près
bunch  groupe
lawsuit  procès
testimony  témoignage
found  a trouvé
burden  fardeau
react  réagir
chamber  chambre
cooperation  la coopération
furniture  meubles
ceremony  la cérémonie
string  chaîne de caractères
communicate  communiquer
cheek  joue
lost  perdu
profile  profil
mechanism  mécanisme
disagree  être en désaccord
penalty  peine
ie  c'est à dire
resort  recours
destruction  destruction
unlikely  improbable
tissue  tissu
constitutional  constitutionnel
pant  haleter
stranger  étranger
infection  infection
cabinet  cabinet
broken  cassé
apple  pomme
electric  électrique
proceed  procéder
bet  pari
literary  littéraire
virus  virus
strategic  stratégique
fortune  fortune
stupid  stupide
dispute  contestation
assistant  assistant
overcome  surmonter
remarkable  remarquable
statistics  statistiques
occupy  occuper
wipe  essuyer
encounter  rencontrer
shopping  achats
cousin  cousine
initially  initialement
(white)  (blanche)
blind  aveugle
port  port
electricity  électricité
adviser  conseiller
genetic  génétique
spokesman  porte-parole
retain  conserver
latter  dernier
incentive  incitation
slave  trimer
accurate  précis
translate  traduire
whereas  tandis que
terror  la terreur
expansion  expansion
elite  élite
olympic  olympique
dirt  saleté
odd  impair
bullet  balle
rice  riz
tight  serré
bible  bible
chart  graphique
solar  solaire
square  carré
complicated  compliqué
gently  doucement
concentration  concentration
revolution  révolution
strip  déshabiller
interpret  interpréter
scenario  scénario
reflection  réflexion
champion  champion
telescope  télescope
friendly  amical
tournament  tournoi
fiction  fiction
detect  détecter
recommendation  recommandation
lifetime  durée de vie
tremendous  énorme
senator  sénateur
hunting  chasse
salad  salade
guarantee  garantie
innocent  innocent
boundary  frontière
pause  pause
remote  à distance
satisfaction  la satisfaction
journal  journal
lover  amoureux
bench  banc
raw  cru
awareness  sensibilisation
surprising  surprenant
withdraw  retirer
deck  plate-forme
pole  pôle
testify  témoigner
newly  nouvellement
similarly  de même
mode  mode
dialogue  dialogue
naturally  naturellement
imply  impliquer
advanced  avancée
mutual  mutuel
founder  fondateur
pride  orgueil
dismiss  rejeter
aircraft  avion
delivery  livraison
mainly  surtout
platform  plate-forme
freeze  geler
finance  la finance
sink  évier
bake  cuire
attractive  attractif
diverse  diverse
relevant  pertinent
ideal  idéal
joy  joie
regularly  régulièrement
working  travaillant
conservation  préservation
evolve  évoluer
shooting  tournage
singer  chanteur
partly  partiellement
unknown  inconnu
offense  infraction
dna  adn
counter  contrer
potentially  potentiellement
thirty  30
justify  justifier
protest  manifestation
treaty  traité
crash  crash
politically  politiquement
craft  artisanat
insight  aperçu
terrorist  terroriste
possess  posséder
tap  robinet
extensive  extensif
episode  épisode
swim  baignade
fault  faute
tire  pneu
loose  ample
shortly  prochainement
originally  initialement
considerable  considérable
prior  avant
intellectual  intellectuel
characterize  caractériser
assault  agression
relax  détendez-vous
adventure  aventure
stair  escalier
external  externe
proof  preuve
confident  confiant
headquarters  quartier général
sudden  soudain
dirty  sale
violation  violation
tongue  langue
license  licence
shelter  abri
rub  frotter
controversy  controverse
entrance  entrée
properly  correctement
defensive  défensive
fade  disparaître
tragedy  la tragédie
net  rapporter
funeral  funéraire
profession  profession
constitute  constituer
alter  modifier
establishment  établissement
squeeze  presser
imagination  imagination
mask  masquer
convert  convertir
comprehensive  complet
prominent  important
presentation  présentation
regardless  indépendamment
load  charge
stable  stable
introduction  introduction
pretend  faire semblant
elderly  âgé
representation  représentation
violate  violer
split  diviser
deer  cerf
partnership  partenariat
pollution  la pollution
steady  constant
emission  émission
vital  vital
earnings  gains
fate  destin
oven  four
distinction  distinction
segment  segment
poet  poète
nowhere  nulle part
mere  simple
exciting  passionnant
variation  variation
comfort  confort
radical  radical
irish  irlandais
honey  mon chéri
adapt  adapter
correspondent  correspondant
pale  pâle
musician  musicien
significance  importance
vessel  navire
storage  espace de rangement
flee  fuir
leather  cuir
mm-hmm  mm-hmm
distribute  distribuer
ill  malade
evolution  évolution
shelf  étagère
tribe  tribu
grandfather  grand-père
lawn  pelouse
dining  à manger
buyer  acheteur
(council)  (conseil)
wisdom  sagesse
vulnerable  vulnérable
garlic  ail
instance  exemple
capability  aptitude
poetry  poésie
celebrity  célébrité
gradually  progressivement
