the  la
technical  technique
compete  rivaliser
plus  plus
mind  esprit
potential  potentiel
immigrant  immigrant
weak  faible
illegal  illégal
hi  salut
alternative  alternative
column  colonne
interaction  interaction
personality  personnalité
curriculum  programme d'études
signal  signal
list  liste
passenger  passager
assistance  assistance
forever  toujours
fun  amusant
regard  qui concerne
israeli  israélien
(association)  (association)
twenty  vingt
knock  frappe
review  la revue
lab  laboratoire
wrap  envelopper
offer  offrir
display  affichage
criticism  critique
asset  actif
depression  dépression
spiritual  spirituel
musical  musical
prayer  prière
journalist  journaliste
suspect  suspect
scholar  savant
warning  attention
climate  climat
cheese  fromage
observation  observation
payment  paiement
childhood  enfance
sir  monsieur
permit  permis
definition  définition
cigarette  cigarette
priority  priorité
bread  pain
creation  création
graduate  diplômé
request  demande
emotion  émotion
scream  crier
dramatic  spectaculaire
universe  univers
gap  écart
deeply  profondément
excellent  excellent
prosecutor  procureur
(mark)  (marque)
green  vert
lucky  chanceux
drag  traîne
airline  compagnie aérienne
library  bibliothèque
agenda  ordre du jour
recover  se remettre
factory  usine
selection  sélection
primarily  principalement
roof  toit
unable  incapable
expense  frais
initiative  initiative
diet  diète
arrest  arrêter
funding  le financement
therapy  thérapie
wash  lavage
schedule  programme
sad  triste
brief  bref
housing  logement
post  publier
purchase  achat
existing  existant
dark  foncé
steel  acier
regarding  en ce qui concerne
shout  crier
remaining  restant
visual  visuel
fairly  équitablement
violent  violent
chip  ébrécher
silent  silencieux
suppose  supposer
self  soi
bike  bicyclette
tea  thé
perceive  apercevoir
comparison  comparaison
settlement  règlement
layer  couche
planning  planification
far  loin
description  la description
later  plus tard
slow  lent
slide  faire glisser
widely  largement
wedding  mariage
inform  informer
portion  portion
territory  territoire
immediate  immédiat
opponent  adversaire
abandon  abandonner
link  lien
mass  masse
(lake)  (lac)
transform  transformer
tension  tension
display  affichage
leading  premier
bother  embêter
consist  consister
alcohol  de l'alcool
enable  permettre
saving  économie
bend  pliez
gain  gain
desert  désert
shall  doit
error  erreur
cop  flic
release  libération
arab  arabe
double  double
walk  marche
spanish  espagnol
sand  sable
rule  régner
print  impression
hit  frapper
preserve  préserver
passage  passage
formal  formel
transition  transition
existence  existence
participation  participation
album  album
arrange  organiser
atmosphere  atmosphère
joint  découper
reply  réponse
cycle  cycle
lock  fermer à clé
opposite  opposé
whole  ensemble
deserve  mériter
consistent  cohérent
resistance  la résistance
discovery  découverte
tear  larme
exposure  exposition
pose  pose
stream  flux
trust  confiance
benefit  avantage
sale  vendre
pot  pot
mine  mien
grand  grandiose
hello  bonjour
tale  conte
knife  couteau
coalition  coalition
resolve  résoudre
racial  racial
phase  phase
present  cadeau
joke  blague
coat  manteau
mexican  mexicain
symptom  symptôme
contact  contact
manufacturer  fabricant
philosophy  philosophie
potato  patate
interview  entretien
quote  citation
foundation  fondation
online  en ligne
pass  passe
negotiation  négociation
good  bien
urge  exhorter
occasion  occasion
dust  poussière
breathe  respirer
elect  élire
investigator  enquêteur
jacket  veste
ordinary  ordinaire
glad  content
reduction  réduction
rarely  rarement
shift  changement
pack  pack
suicide  suicide
numerous  nombreux
touch  toucher
substance  substance
discipline  la discipline
elsewhere  ailleurs
iron  fer à repasser
practical  pratique
moreover  en outre
passion  passion
volunteer  bénévole
implement  mettre en œuvre
essentially  essentiellement
gene  gène
enforcement  mise en vigueur
sauce  sauce
vs  vs
independence  indépendance
marketing  commercialisation
priest  prêtre
amazing  étonnante
intense  intense
advance  avance
employer  employeur
shock  choc
inspire  inspirer
adjust  régler
retire  se retirer
kiss  embrasser
illness  maladies
visible  visible
sure  bien sur
cap  casquette
competitive  compétitif
habit  habitude
congressional  du congrès
juice  jus
involvement  participation
dominate  dominer
previously  précédemment
whenever  n'importe quand
transfer  transfert
analyze  analyser
another  une autre
indian  indien
for  pour
attach  attacher
disaster  catastrophe
parking  parking
prospect  perspective
boss  chef
complaint  plainte
championship  championnat
coach  entraîneur
fundamental  fondamental
exercise  exercer
severe  sévère
enhance  améliorer
mystery  mystère
poverty  la pauvreté
impose  imposer
other  autre
fat  gros
spending  dépenses
entry  entrée
(king)  (roi)
evaluate  évaluer
symbol  symbole
trade  commerce
still  toujours
maker  fabricant
mood  humeur
accomplish  accomplir
emphasis  accent
boot  démarrage
illustrate  illustrer
monitor  surveiller
entertainment  divertissement
asian  asiatique
bean  haricot
creature  créature
evaluation  évaluation
commander  le commandant
digital  numérique
arrangement  arrangement
concentrate  concentrer
total  total
usual  habituel
psychological  psychologique
anger  colère
heavily  fortement
peak  de pointe
approximately  approximativement
increasing  en augmentant
missile  missile
disorder  désordre
equally  également
wire  fil
vary  varier
round  rond
distribution  distribution
transportation  transport
holy  saint
twin  double
ring  bague
command  commander
commission  commission
interpretation  interprétation
stop  arrêter
breakfast  petit-déjeuner
strongly  fortement
luck  chance
engineering  ingénierie
so-called  soi-disant
constant  constant
race  course
clinic  clinique
veteran  vétéran
smell  sentir
tablespoon  cuillerée à soupe
capable  capable
nervous  nerveux
tourist  touristique
light  léger
toss  lancer
crucial  crucial
bury  enterrer
pray  prier
tomato  tomate
exception  exception
butter  beurre
deficit  déficit
bathroom  salle de bain
block  bloquer
objective  objectif
electronic  électronique
ally  allié
journey  voyage
surely  sûrement
reputation  réputation
tower  la tour
mixture  mélange
smoke  fumée
confront  affronter
pure  pur
glance  coup d'œil
toy  jouet
prisoner  prisonnier
dimension  dimension
fellow  compagnon
smooth  lisse
nearby  proche
peer  pair
personnel  personnel
designer  designer
shape  façonner
relative  relatif
educator  éducateur
belt  ceinture
immigration  immigration
teaspoon  cuillère à café
birthday  date d'anniversaire
implication  implication
perfectly  à la perfection
coast  côte
supporter  supporter
accompany  accompagner
silver  argent
teenager  adolescent
recognition  reconnaissance
retirement  retraite
recovery  récupération
flag  drapeau
watch  regardez
whisper  chuchotement
gentleman  gentilhomme
corn  maïs
inner  intérieur
moon  lune
junior  junior
rather  plutôt
swing  balançoire
throat  gorge
salary  un salaire
observer  observateur
due  payable
straight  droit
publication  publication
dig  creuser
crop  recadrer
pretty  jolie
strike  la grève
permanent  permanent
plant  plante
phenomenon  phénomène
anxiety  anxiété
unlike  contrairement à
literally  au sens propre
resist  résister
wet  mouiller
convention  convention
embrace  embrasse
supply  fournir
assist  aider
exhibition  exposition
construct  construction
viewer  téléspectateur
pan  poêle
consultant  consultant
soon  bientôt
line  ligne
date  date
administrator  administrateur
occasionally  parfois
mayor  maire
consideration  considération
pink  rose
secure  sécurise
smoke  fumée
estimate  estimation
historic  historique
buck  mâle
poem  poème
grandmother  grand-mère
bind  lier
fifth  cinquième
constantly  constamment
enterprise  entreprise
favor  favoriser
testing  essai
apparent  apparent
stomach  estomac
weigh  peser
install  installer
sensitive  sensible
suggestion  suggestion
mail  courrier
recipe  recette
reasonable  raisonnable
elementary  élémentaire
wooden  en bois
preparation  préparation
aggressive  agressif
concert  concert
FALSE  false
intention  intention
channel  canal
extreme  extrême
tube  tube
drawing  dessin
quit  quitter
protein  protéine
absence  absence
roll  rouler
latin  latin
rapidly  rapidement
jail  geôle
comment  commenter
honest  honnête
diversity  la diversité
palestinian  palestinien
pace  rythme
employment  emploi
speaker  conférencier
essay  essai
impression  impression
respondent  intimé
giant  géant
cake  gâteau
negotiate  négocier
historian  historien
restore  restaurer
substantial  substantiel
pop  pop
specialist  spécialiste
origin  origine
particular  particulier
approval  approbation
criticize  critiquer
mine  mien
advise  conseiller
quietly  tranquillement
conventional  conventionnel
depth  profondeur
drop  laissez tomber
count  compter
disability  invalidité
wealth  richesse
shell  coquille
general  général
fast  vite
professional  professionnel
biological  biologique
pack  pack
effectively  effectivement
onion  oignon
deputy  adjoint
flat  appartement
brand  marque
assure  assurer
mad  fou
award  décerner
criteria  critères
dealer  marchand
via  via
alternative  alternative
utility  utilitaire
precisely  précisément
armed  armé
arise  surgir
nevertheless  néanmoins
highway  autoroute
clinical  clinique
routine  routine
wage  salaire
schedule  programme
normally  en temps normal
phrase  phrase
ingredient  ingrédient
stake  pieu
muslim  musulman
dream  rêver
fiber  fibre
activist  activiste
islamic  islamique
snap  se casser
terrorism  terrorisme
refugee  réfugié
incorporate  intégrer
ultimate  ultime
corporation  société
hip  hanche
switch  changer
valuable  de valeur
assumption  supposition
gear  équipement
graduate  diplômé
barrier  barrière
minor  mineur
assign  attribuer
provision  disposition
killer  tueur
gang  gang
developing  développement
classic  classique
chemical  chimique
wave  vague
label  étiqueter
teen  adolescent
index  indice
vacation  vacances
advocate  avocat
draft  brouillon
extraordinary  extraordinaire
heaven  paradis
rough  rugueux
yell  hurler
pregnant  enceinte
distant  loin
drama  drame
satellite  satellite
personally  personnellement
wonder  merveille
clock  l'horloge
chocolate  chocolat
italian  italien
canadian  canadien
sweep  balayer
advertising  la publicité
ceiling  plafond
universal  universel
house  loger
spin  tourner
button  bouton
bell  cloche
rank  rang
ahead  devant
darkness  ténèbres
clothing  vêtements
super  super
yield  rendement
fence  clôture
paint  peinture
portrait  portrait
survival  survie
roughly  à peu près
bunch  groupe
bottom  bas
lawsuit  procès
testimony  témoignage
beat  battre
wind  vent
found  a trouvé
burden  fardeau
react  réagir
chamber  chambre
cooperation  la coopération
furniture  meubles
ceremony  la cérémonie
string  chaîne de caractères
communicate  communiquer
